"square","caliblat","Longitude","Latitude","caliblat.1","julian","year","block","block_nobuf","buffsqs"
4455,92.3105187623188,-5.87930702142297,51.9246668038043,92.3105187623188,1,2014,1,1,0
4456,92.3487445876535,-5.5917727908616,51.9461688305551,92.3487445876535,1,2014,1,1,0
4457,92.3857312373359,-5.30388470042034,51.9669738210015,92.3857312373359,1,2014,1,1,0
4458,92.4214752115,-5.01565387783897,51.9870798064688,92.4214752115,1,2014,1,1,0
4459,92.4559731205685,-4.72709153729445,52.0064848803198,92.4559731205685,1,2014,1,1,0
4460,92.4892216863032,-4.43820897694793,52.0251871985456,92.4892216863032,1,2014,1,1,0
4461,92.5212177428259,-4.14901757642957,52.0431849803395,92.5212177428259,1,2014,1,1,0
4462,92.5519582376078,-3.85952879426359,52.0604765086544,92.5519582376078,1,2014,1,1,0
4463,92.5814402324288,-3.56975416523557,52.0770601307412,92.5814402324288,1,2014,1,1,0
4464,92.6096609043039,-3.27970529770455,52.092934258671,92.6096609043039,1,2014,1,1,0
4592,91.6468926893187,-8.12173676939136,51.5513771377418,91.6468926893187,1,2014,1,1,0
4593,91.6945920153961,-7.83848358969735,51.5782080086603,91.6945920153961,1,2014,1,1,0
4594,91.7410912296288,-7.55479674946819,51.6043638166662,91.7410912296288,1,2014,1,1,0
4595,91.7863860437013,-7.27068647978655,51.629842149582,91.7863860437013,1,2014,1,1,0
4596,91.8304722691422,-6.98616311303586,51.6546406513925,91.8304722691422,1,2014,1,1,0
4597,91.8733458185513,-6.70123708105601,51.6787570229351,91.8733458185513,1,2014,1,1,0
4598,91.9150027068062,-6.41591891322136,51.7021890225785,91.9150027068062,1,2014,1,1,0
4599,91.9554390522462,-6.13021923444345,51.7249344668885,91.9554390522462,1,2014,1,1,0
4600,91.994651077833,-5.84414876310041,51.7469912312811,91.994651077833,1,2014,1,1,0
4601,92.0326351122865,-5.55771830889541,51.7683572506612,92.0326351122865,1,2014,1,1,0
4602,92.0693875911955,-5.27093877064623,51.7890305200475,92.0693875911955,1,2014,1,1,0
4603,92.104905058102,-4.98382113400817,51.8090090951824,92.104905058102,1,2014,1,1,0
4604,92.139184165558,-4.69637646913252,51.8282910931264,92.139184165558,1,2014,1,1,0
4605,92.1722216761538,-4.40861592826272,51.8468746928365,92.1722216761538,1,2014,1,1,0
4606,92.2040144635182,-4.12055074327041,51.864758135729,92.2040144635182,1,2014,1,1,0
4607,92.2345595132873,-3.83219222313363,51.8819397262241,92.2345595132873,1,2014,1,1,0
4608,92.2638539240439,-3.54355175135915,51.8984178322747,92.2638539240439,1,2014,1,1,0
4609,92.2918949082247,-3.25464078335146,51.9141908858764,92.2918949082247,1,2014,1,1,0
4737,91.3331716982173,-8.07838034348984,51.3749090802472,91.3331716982173,1,2014,1,1,0
4738,91.3805722506812,-7.79617774891096,51.4015718910082,91.3805722506812,1,2014,1,1,0
4739,91.4267798727813,-7.51354722648993,51.4275636784395,91.4267798727813,1,2014,1,1,0
4740,91.4717903281465,-7.23049888423534,51.4528820595824,91.4717903281465,1,2014,1,1,0
4741,91.5155994791733,-6.94704292926148,51.477524707035,91.5155994791733,1,2014,1,1,0
4742,91.5582032882293,-6.66318966597375,51.501489349629,91.5582032882293,1,2014,1,1,0
4743,91.5995978188358,-6.37894949417922,51.5247737730952,91.5995978188358,1,2014,1,1,0
4744,91.6397792368281,-6.0943329071241,51.5473758207158,91.6397792368281,1,2014,1,1,0
4745,91.678743811493,-5.80935048946044,51.5692933939648,91.678743811493,1,2014,1,1,0
4746,91.716487916682,-5.52401291514408,51.5905244531336,91.716487916682,1,2014,1,1,0
4747,91.7530080318994,-5.23833094526602,51.6110670179434,91.7530080318994,1,2014,1,1,0
4748,91.7883007433648,-4.95231542581931,51.6309191681427,91.7883007433648,1,2014,1,1,0
4749,91.8223627450482,-4.66597728540349,51.6500790440896,91.8223627450482,1,2014,1,1,0
4750,91.8551908396776,-4.37932753286887,51.6685448473187,91.8551908396776,1,2014,1,1,0
4751,91.8867819397183,-4.09237725490258,51.6863148410916,91.8867819397183,1,2014,1,1,0
4752,91.9171330683222,-3.80513761355865,51.7033873509312,91.9171330683222,1,2014,1,1,0
4753,91.9462413602473,-3.51761984373414,51.7197607651391,91.9462413602473,1,2014,1,1,0
4754,91.9741040627464,-3.22983525059343,51.7354335352949,91.9741040627464,1,2014,1,1,0
4883,91.0664990154869,-7.75429979930964,51.2249056962114,91.0664990154869,1,2014,1,1,0
4884,91.1124172366105,-7.47271549565471,51.2507346955934,91.1124172366105,1,2014,1,1,0
4885,91.1571454760746,-7.19071888125866,51.275894330292,91.1571454760746,1,2014,1,1,0
4886,91.200679646311,-6.90832003996446,51.3003823010499,91.200679646311,1,2014,1,1,0
4887,91.2430157586372,-6.62552915079652,51.3241963642334,91.2430157586372,1,2014,1,1,0
4888,91.2841499244161,-6.34235648610299,51.3473343324841,91.2841499244161,1,2014,1,1,0
4889,91.3240783561935,-6.05881240962762,51.3697940753588,91.3240783561935,1,2014,1,1,0
4890,91.3627973688125,-5.77490737451293,51.391573519957,91.3627973688125,1,2014,1,1,0
4891,91.4003033805051,-5.49065192123696,51.4126706515341,91.4003033805051,1,2014,1,1,0
4892,91.4365929139579,-5.20605667548558,51.4330835141013,91.4365929139579,1,2014,1,1,0
4893,91.4716625973535,-4.92113234596231,51.4528102110114,91.4716625973535,1,2014,1,1,0
4894,91.5055091653847,-4.63588972213795,51.4718489055289,91.5055091653847,1,2014,1,1,0
4895,91.5381294602412,-4.35033967194166,51.4901978213857,91.5381294602412,1,2014,1,1,0
4896,91.5695204325695,-4.06449313939601,51.5078552433203,91.5695204325695,1,2014,1,1,0
4897,91.5996791424021,-3.77836114219767,51.5248195176012,91.5996791424021,1,2014,1,1,0
4898,91.6286027600588,-3.49195476924595,51.5410890525331,91.6286027600588,1,2014,1,1,0
4899,91.6562885670167,-3.20528517812121,51.5566623189469,91.6562885670167,1,2014,1,1,0
5028,90.7523729036162,-7.71284411254076,51.0482097582841,90.7523729036162,1,2014,1,1,0
5029,90.7980038852077,-7.4322960493608,51.0738771854293,90.7980038852077,1,2014,1,1,0
5030,90.8424520224306,-7.15134108620382,51.0988792626172,90.8424520224306,1,2014,1,1,0
5031,90.8857132769363,-6.86998918560234,51.1232137182767,90.8857132769363,1,2014,1,1,0
